,Khoảng giá
4985,28.0
532,10.0
3262,3.5
6196,58.0
1829,8.3
4314,5.95
5556,9.5
5009,6.19
6102,10.19
1602,7.95
2238,23.8
639,48.0
6081,58.0
967,25.9
5568,15.5
123,11.8
1683,8.0
2248,6.99
4331,19.5
5626,11.5
3686,31.9
155,39.0
2295,25.0
3908,63.0
4990,14.5
1089,12.3
5137,6.4
2319,6.2
2940,8.4
5325,9.4
288,5.88
930,6.5
2909,12.3
3975,5.95
4883,6.5
2884,10.5
5773,8.6
4913,8.3
3247,19.0
5716,8.0
3000,6.0
4663,15.0
3717,70.0
6209,7.39
942,29.9
2354,3.2
4999,10.4
5432,7.4
5870,29.9
1698,320.0
5926,28.8
4343,14.0
3931,11.19
4239,50.0
4434,17.9
5735,12.9
985,27.0
1821,25.5
6091,130.0
5351,8.5
6011,5.65
981,13.5
5762,9.3
3622,14.0
5731,13.5
3816,27.9
4506,12.5
3880,12.8
1473,6.5
4771,6.6
6020,5.89
5825,32.0
1457,5.0
1395,19.9
264,4.95
2748,3.45
5779,64.0
2692,7.48
5181,8.7
929,9.99
4427,3.5
5560,46.5
2400,5.6
2178,23.0
4536,5.8
246,19.5
1594,5.78
1758,14.0
6126,27.9
4856,6.1
923,5.8
3689,8.68
4645,5.5
268,6.6
669,85.0
4182,8.89
1910,4.5
5007,19.45
4372,6.3
1152,5.5
5782,9.8
5168,79.0
6059,21.0
5371,299.0
2696,4.5
2591,27.0
5326,7.9
1781,7.49
2413,9.7
3013,16.0
5499,12.8
2307,7.0
3544,59.0
687,45.0
1915,6.4
5925,8.5
612,11.9
3071,7.9
5569,6.0
3200,4.75
2267,5.5
6039,72.0
2533,9.68
39,24.0
1898,15.5
1649,9.8
5406,8.5
258,34.0
2924,5.4
2434,9.5
847,22.0
2822,4.7
5221,4.35
3339,13.0
5338,9.0
5479,6.2
4184,14.49
1233,5.7
1127,12.8
3870,7.9
1967,38.5
558,18.3
904,10.2
2614,69.0
3143,25.0
484,4.6
2211,27.8
1320,7.49
3699,52.0
2555,7.35
7,17.5
2315,18.5
5332,48.0
4594,6.5
4525,19.5
5529,8.0
1450,8.35
1201,28.0
2426,4.3
2648,7.95
1814,14.99
2726,5.7
773,17.5
2274,7.78
1011,145.0
4244,20.0
3168,4.79
3844,13.25
1991,4.38
1277,5.9
1783,7.99
4462,45.0
446,43.0
880,36.0
4880,11.5
5613,19.0
2727,11.4
3048,7.6
5050,19.0
781,6.2
2651,8.65
6117,7.5
1749,16.99
2126,16.2
4076,4.5
2791,2.7
2423,5.2
6148,17.9
5426,4.5
883,10.6
5638,9.1
1091,4.95
6213,9.8
4329,20.8
531,5.7
5491,5.95
2438,9.5
5105,16.8
5899,2.75
2608,8.6
5160,22.9
2290,8.7
1727,7.48
610,6.95
570,3.8
1979,31.5
1317,2.7
343,9.8
587,5.4
4905,38.0
636,4.78
434,10.6
1903,6.59
3215,6.7
97,8.0
5184,19.0
5059,14.5
3749,65.5
5998,7.79
2069,9.8
1537,15.5
3806,27.0
4338,9.8
5006,5.3
3690,66.0
1517,9.29
965,6.55
5537,48.0
528,4.8
176,4.3
2470,3.3
4740,32.0
6007,11.0
3001,7.0
5389,14.8
3425,75.0
572,11.5
3625,34.8
592,8.9
5850,6.9
3062,7.5
5913,65.0
2374,4.7
3064,14.5
5906,40.0
5482,4.7
4055,12.95
4403,4.35
2208,12.9
6118,11.5
2492,7.8
4195,5.1
383,6.5
852,5.45
1880,23.0
370,7.5
5789,8.6
4438,24.0
5464,6.8
5429,9.29
1105,6.99
4038,8.3
2361,18.5
5061,14.0
1336,5.6
2189,3.39
5778,5.7
5673,1.03
3659,17.3
2246,5.5
4322,6.9
6100,10.49
1171,7.8
3274,16.5
5983,10.99
2001,5.1
1422,7.5
2686,12.59
5647,9.8
3685,13.0
4122,12.0
5224,279.0
1464,10.8
874,3.95
2297,6.3
2643,8.5
3667,25.0
6128,7.01
1251,8.9
3693,45.0
840,6.8
4959,30.0
581,8.5
204,14.0
1641,9.5
2014,18.8
3253,6.6
4634,8.9
905,6.4
631,9.8
6034,30.0
6289,7.0
1974,16.9
162,31.0
6187,23.8
4280,45.0
5655,9.8
3979,4.45
617,17.5
875,9.9
1431,8.66
2973,9.5
4351,12.0
547,12.7
4635,7.8
5722,125.0
5643,14.6
3614,22.5
3750,26.9
3435,5.5
1851,12.5
3891,78.0
5136,6.9
2856,31.0
1861,4.97
2659,7.89
3384,7.2
5781,5.3
640,6.8
4149,19.5
1009,16.8
3366,4.6
6154,15.8
637,13.0
3331,13.99
6133,5.9
4722,13.5
2308,7.8
3145,7.4
5459,23.5
2096,6.45
3896,98.0
1956,2.4
1372,21.5
5819,18.0
921,8.79
5756,12.0
546,31.99
1449,8.59
2804,7.3
2610,7.2
1900,8.2
2757,6.74
2028,39.0
2301,22.0
1885,42.0
1642,8.9
972,32.0
6051,7.69
2097,5.35
5469,4.95
5654,8.45
6256,11.8
836,13.3
3471,5.87
601,6.99
2184,2.8
5003,7.7
3901,9.9
5405,9.1
1582,25.0
5355,25.5
3973,6.0
2010,7.8
1070,6.55
1775,320.0
6050,89.0
1283,6.98
5238,39.0
5982,27.5
1836,4.2
5327,11.5
1019,12.5
970,8.2
1326,6.65
3700,12.6
475,8.99
2810,7.3
4713,52.0
1651,7.2
5845,175.0
5375,28.0
2528,25.0
4093,22.5
6253,7.6
4056,13.4
1373,7.45
739,7.59
4832,9.3
3833,7.99
867,22.5
2974,73.0
1140,6.35
997,15.5
1337,19.8
541,12.8
1099,5.95
1132,6.2
6105,6.79
4165,65.0
2258,6.1
5093,3.65
3390,3.38
2962,9.5
59,7.25
3259,9.9
2206,25.8
1938,12.5
4047,5.7
6219,12.9
4071,17.9
2813,9.95
5451,8.4
3793,19.0
1078,5.55
4751,7.0
5780,13.59
3586,4.8
4481,6.5
4162,4.5
6107,8.5
2630,6.9
5039,8.6
3909,6.3
4453,6.6
940,25.0
1080,3.7
187,10.4
1795,7.7
4336,8.9
2085,12.95
2249,39.0
4348,27.5
6161,8.2
2023,7.2
4354,9.5
1492,7.5
4825,23.0
4272,10.0
226,46.0
1013,12.3
2583,19.0
1929,10.0
5476,3.7
5649,16.2
1404,28.5
3956,14.8
2179,9.8
697,9.8
1124,3.99
3282,6.98
1093,8.0
4315,11.9
1778,6.4
2634,28.5
3091,35.0
5360,14.8
4727,16.5
3489,5.56
1656,9.8
1037,9.8
5245,35.35
2256,7.2
4196,6.6
6225,13.5
313,160.0
2649,25.0
2281,16.8
4096,13.5
5552,24.9
2547,12.0
1416,5.25
1036,10.9
2159,8.48
2984,7.6
3137,4.6
6097,63.0
1754,9.9
4471,75.0
4241,8.3
1428,6.5
4022,8.4
2520,60.0
3967,11.7
873,40.68
4643,6.7
4705,62.0
1506,6.79
5902,6.79
1923,5.75
448,4.9
3836,9.0
4618,10.0
6258,23.8
4028,9.1
3655,12.19
3727,11.8
3257,6.2
361,8.9
2183,4.65
1134,6.35
5070,9.8
3199,5.87
5014,25.5
3438,6.1
2155,29.0
1830,7.8
1053,29.0
2460,9.8
22,34.0
2066,8.5
1653,11.3
4060,19.0
4541,10.0
2743,7.4
1376,3.86
6152,6.9
2468,9.9
3754,16.3
2325,6.99
460,5.9
1067,45.0
87,5.75
1430,9.9
1486,3.98
3678,4.5
4629,60.0
282,6.79
2483,9.0
462,12.5
212,7.5
2588,8.45
3922,10.5
3537,60.0
3852,42.0
2907,6.6
2581,7.95
1368,27.5
234,5.5
4209,7.8
597,10.0
5559,13.5
2250,9.29
5113,11.5
2283,3.5
662,6.4
6252,22.0
2285,5.55
3431,7.3
5935,28.0
5488,9.5
5632,12.7
4085,9.5
5746,16.8
3468,5.99
3927,5.5
3601,8.0
2990,17.6
5599,7.0
779,6.7
2544,1.95
4668,4.28
4528,6.39
4700,22.8
4599,5.95
4534,9.2
5182,22.5
6085,34.9
685,18.0
3988,8.73
3915,5.85
3243,7.28
1748,7.65
2003,20.2
4865,3.2
2837,2.4
3697,20.0
3032,5.8
2171,3.85
1850,7.3
487,9.0
1688,5.39
2230,10.7
3473,9.8
4584,4.39
2320,4.8
782,9.45
521,6.55
522,8.9
2939,7.4
5217,9.8
5066,11.5
2398,6.6
2207,6.7
6083,6.9
780,29.0
4917,3.2
4248,1.88
1511,25.5
1882,69.0
651,15.5
4684,450.0
2196,11.0
1801,3.4
369,24.8
5495,7.0
6262,14.0
118,16.0
377,9.5
216,15.0
2216,5.65
5519,7.5
1613,65.0
2883,5.4
4505,23.5
5648,10.8
3632,28.0
962,5.25
5666,2.35
2510,26.5
5908,4.8
4786,6.0
4845,7.8
359,24.0
3839,13.5
4194,13.4
1246,32.8
3408,3.7
4375,17.5
2415,29.8
6080,8.7
3694,83.5
5317,1.35
2185,26.5
4247,7.0
2567,9.9
3423,10.3
2037,9.5
5384,5.45
772,9.4
1284,8.3
5788,49.0
3562,6.6
5961,6.4
2587,8.9
5754,8.0
1414,6.68
1234,9.6
398,3.25
435,59.0
1674,5.85
3299,9.5
365,8.5
4121,9.0
4020,6.8
231,35.0
5356,16.9
147,11.4
5528,105.0
3088,8.3
4960,200.0
3554,56.0
407,4.98
5814,12.5
3692,15.0
3456,4.27
2090,8.5
86,5.49
3576,31.5
3271,12.9
844,21.0
1031,19.5
4909,5.5
4539,50.0
5705,5.5
2987,6.68
4560,285.0
2628,4.6
4708,5.3
3244,6.18
855,9.5
3926,4.7
3003,7.65
3984,7.55
78,23.8
2992,15.0
2247,6.8
6170,6.4
5748,10.5
6073,20.99
758,17.0
4406,12.3
3355,27.5
788,7.45
2279,6.2
4082,7.3
4074,7.5
4454,6.0
5228,46.0
5008,19.8
3631,30.0
4702,22.65
4126,32.0
2176,48.0
424,9.0
392,21.0
5580,18.2
5946,9.7
2239,16.5
104,2.8
2672,6.3
6037,7.78
4039,7.2
2068,3.3
4237,7.85
3493,6.95
1948,18.9
1459,14.8
4529,20.8
1768,8.85
3298,6.5
743,15.0
5129,6.39
3835,88.0
6026,8.9
1587,12.5
4866,43.56
1731,5.49
5997,52.0
4333,33.0
4900,15.5
182,16.5
1791,7.4
2355,18.5
1940,6.8
702,20.0
2442,8.9
5931,9.13
496,4.05
4890,3.4
464,4.8
163,6.6
5443,5.45
172,23.0
2020,29.0
6036,8.89
3764,24.0
5605,9.9
2540,8.8
6244,11.5
2009,9.8
2260,6.7
3084,24.5
2112,14.8
900,22.0
1446,78.0
1911,5.8
3897,95.0
3542,7.49
2697,23.0
4920,8.1
3662,9.0
741,80.0
2293,8.8
2452,6.25
3802,37.0
6137,5.0
5418,9.5
1206,6.6
509,16.79
3716,7.0
5223,25.0
1764,15.0
1549,9.7
3029,18.0
4741,8.9
2044,23.5
767,8.4
1508,4.2
6123,6.5
5231,57.0
4108,15.5
3292,4.45
819,17.5
1403,2.98
1382,23.0
2148,10.8
1638,9.2
6057,3.8
399,2.3
882,36.8
3565,6.9
1179,5.65
4279,45.0
2130,16.0
456,8.0
1950,7.0
689,15.8
4969,5.8
1953,40.0
2710,7.0
4661,14.7
1884,8.3
4728,7.3
2494,4.65
3036,7.9
3603,70.0
845,10.8
542,4.9
3724,42.0
3679,14.5
5148,36.0
4308,23.0
2964,9.7
2529,6.7
1048,6.3
1960,14.0
2530,6.8
4623,7.9
237,11.5
1133,5.4
4641,10.0
4716,5.0
2978,8.8
5314,13.29
3919,12.9
3138,4.7
5614,8.9
4073,7.7
5404,6.95
3229,8.2
1826,9.99
593,19.8
2725,19.2
4137,17.0
560,115.0
5089,6.7
243,8.4
4347,21.0
405,75.0
1442,20.9
261,15.5
5741,16.8
1689,9.95
1725,5.69
2496,3.6
4215,27.8
340,175.0
4377,8.25
1601,6.6
3725,5.3
6236,8.9
2785,9.7
1523,8.0
4706,16.9
5586,200.0
5836,205.0
1766,16.5
4037,9.9
4970,82.5
5099,7.0
5887,6.79
363,7.3
6229,7.3
5663,5.8
5015,52.0
5815,13.8
2562,8.95
4385,27.0
5774,4.65
3083,7.3
5984,17.0
2102,22.0
632,6.7
2493,6.4
2665,9.9
5802,5.7
4614,9.5
4456,35.0
2334,3.2
4816,6.7
3619,33.0
3883,16.5
4259,61.0
1494,2.3
2401,5.8
3874,32.5
1232,6.9
2661,11.7
2817,12.8
5751,8.3
4995,22.5
4153,5.1
3061,13.9
5378,19.5
6230,12.9
1735,7.3
2823,6.7
4304,26.0
2475,44.0
2564,62.0
5302,1.36
4862,14.0
707,5.75
3046,9.0
5369,10.8
4982,135.6
72,6.6
5890,11.25
1190,3.6
2601,7.45
1125,175.0
1241,9.8
5639,11.8
5195,6.8
4008,6.5
1577,7.9
3906,75.0
3729,8.4
1343,25.0
6281,69.0
440,5.6
1100,5.4
2637,6.8
4424,32.0
649,3.88
1546,23.8
4778,6.99
4796,4.9
2852,17.8
3503,7.4
4522,7.0
630,11.9
1249,19.5
4418,6.4
482,36.5
1584,3.9
1462,3.5
3040,8.65
4834,23.9
3273,3.5
3683,62.68
4145,14.0
4423,15.0
3225,5.28
1072,3.99
2631,7.5
1660,9.5
2425,9.0
5823,4.95
3097,17.9
3976,9.0
5633,6.1
5979,12.9
4466,7.7
4986,5.0
1408,15.7
1845,33.9
1798,9.99
3957,13.5
1475,5.95
35,12.5
444,2.59
2359,109.0
3654,9.95
3179,8.2
1286,5.5
6259,8.5
3416,10.0
2137,13.9
2636,8.95
4016,6.1
6084,5.0
1681,6.25
4570,7.0
1692,9.0
5475,9.49
5011,3.9
3635,15.0
372,300.0
4828,7.5
140,6.98
5867,49.0
5174,7.5
714,24.8
3188,8.0
5557,33.0
4394,16.2
406,3.5
20,5.2
1004,12.5
2411,7.3
2545,6.8
2390,8.1
5057,15.68
42,20.9
2830,5.29
3371,25.0
3022,7.8
3364,24.5
11,28.5
1177,4.7
1947,22.79
2501,8.5
2863,9.0
3865,7.9
1026,5.95
3848,32.0
2989,9.15
961,7.7
2889,25.0
3015,39.0
3338,10.3
4437,3.2
735,9.4
1440,3.6
2875,11.8
3986,6.78
916,173.0
5253,11.5
4089,40.0
5817,11.2
4915,10.2
2772,22.0
1624,5.8
4988,47.0
821,12.35
1367,14.6
3712,14.5
5657,36.0
850,3.4
1000,16.9
4672,11.5
4114,6.8
1637,54.0
1667,14.3
3173,9.9
4782,4.78
1347,24.9
4912,4.57
3230,8.2
4416,9.5
4830,5.6
3232,12.9
5149,19.0
703,6.55
6180,9.2
3291,2.65
3673,8.3
2408,11.0
1327,10.6
5863,4.2
5684,14.5
5260,11.5
986,19.5
5712,13.98
5412,6.8
5830,25.0
4049,17.0
3485,8.3
2474,6.99
3873,6.95
1198,27.5
4181,9.9
1518,11.5
1799,14.5
1014,5.95
128,7.5
1364,6.6
5570,40.0
891,13.5
2793,10.9
5286,13.2
6000,7.59
5397,16.8
3249,4.0
1208,18.6
3868,8.1
5651,29.0
4065,5.9
5383,16.7
1239,6.1
2289,6.0
2740,5.6
275,4.8
1035,3.15
1229,26.99
1008,10.0
3828,20.0
2532,22.95
1058,9.2
4674,12.8
281,22.379
1043,8.8
1316,10.8
968,23.5
2381,17.8
5022,7.9
1939,38.0
4510,38.0
1274,9.97
619,6.89
4564,12.6
1742,21.0
1390,4.98
5125,7.9
1579,7.45
1655,12.8
3568,5.7
2352,11.5
2212,4.5
6261,68.77
3178,12.8
3192,9.9
1307,9.7
575,29.8
2360,6.99
1280,9.5
5121,7.55
5212,3.98
1993,28.7
2639,35.5
269,4.3
629,8.2
4657,26.8
3081,7.0
3466,6.68
5494,5.75
4396,21.0
4023,5.4
2046,13.8
4356,3.99
4940,13.8
2113,13.8
27,6.95
2040,14.8
3928,4.95
5692,10.0
3216,7.6
3814,130.0
129,7.9
4660,8.5
6183,6.2
13,12.0
5398,8.7
1525,8.49
2365,5.5
3052,7.6
4005,22.5
2340,13.9
374,6.1
4582,5.19
5795,65.0
939,8.0
6030,6.49
2147,14.5
3591,6.58
5715,8.6
5294,24.8
3623,12.0
529,13.5
3714,25.0
1269,14.5
4281,33.0
1394,7.99
4009,23.8
4390,7.45
1797,10.0
2979,79.0
1441,5.4
4701,22.6
6139,7.5
3811,4.68
1273,9.9
1712,23.0
955,11.5
4655,4.88
5030,17.5
5565,23.0
403,4.55
2071,3.35
5985,9.8
1977,5.67
158,19.5
3888,11.5
902,8.5
352,5.8
4130,60.0
754,14.0
2971,88.0
6268,58.0
2920,16.5
311,5.15
661,10.8
1989,26.0
3665,7.39
306,19.5
2335,8.9
2356,34.0
3702,12.8
3804,25.3
1927,15.2
3427,75.0
749,4.39
3638,36.5
4573,6.18
1266,8.1
4772,5.6
5563,19.6
3595,5.6
2134,14.0
4109,56.0
514,7.69
5628,8.7
409,9.9
4690,88.0
6273,100.0
6226,35.0
5453,4.68
207,10.45
458,25.0
2054,3.9
2430,9.3
250,7.99
5373,16.7
1107,6.8
5106,7.3
1713,8.6
3911,110.0
715,10.9
552,7.6
1439,4.2
2270,41.0
3144,4.05
6015,10.0
1925,12.8
634,12.8
316,6.5
6140,26.68
427,3.0
4666,58.0
105,26.0
3041,9.9
4238,22.0
2169,22.0
1709,15.5
89,7.5
2241,21.0
3174,9.9
4693,60.0
1949,4.68
4044,19.5
2848,9.8
1,5.95
4337,21.5
935,6.2
5388,6.16
2720,3.15
591,6.35
4715,2.3
2936,24.0
2448,15.2
1576,41.0
5281,8.99
213,3.68
778,8.8
3496,9.7
4935,10.0
2043,13.9
5710,22.5
1567,6.5
165,11.5
3566,18.7
4813,11.5
5990,41.5
2013,7.6
273,14.2
3860,18.5
4167,13.9
5023,11.0
3788,4.9
394,29.0
583,6.2
6278,60.0
5840,138.0
6025,8.5
520,5.6
1763,5.55
1875,168.0
3965,8.9
3344,17.5
2253,4.7
3224,4.6
526,5.58
2946,2.85
4473,180.0
3899,85.0
692,6.19
5955,7.65
4444,13.0
3633,6.5
1050,3.6
590,7.7
519,8.9
3676,17.0
5808,3.4
1607,2.75
3610,9.9
6012,11.89
1809,7.45
791,42.9
792,7.98
5178,35.0
1855,7.2
1980,7.3
3233,8.8
3598,24.0
933,9.7
3963,5.9
5848,650.0
4179,305.0
4026,7.2
4116,4.38
988,10.0
4850,36.0
3453,4.95
5750,16.5
3778,68.0
5282,22.4
3093,12.6
3155,3.7
3201,4.98
5079,12.0
1098,11.7
5230,59.0
2844,8.28
886,11.5
6214,4.2
4878,37.0
515,16.0
5811,16.5
1453,4.5
3553,11.8
3609,8.8
4665,5.85
2506,15.0
2994,26.9
3999,10.6
906,13.5
28,7.5
2507,15.8
2428,34.0
762,6.4
3747,9.0
284,12.5
686,18.0
2353,7.5
5065,7.5
5407,8.8
21,12.5
2752,12.5
885,3.35
917,8.9
1040,4.1
1265,17.8
4579,240.0
5447,46.0
277,6.8
2084,39.0
1245,33.0
2382,180.0
571,6.7
1435,9.5
3902,16.0
1247,9.5
4681,66.0
3526,5.5
2514,26.5
1007,15.3
4543,7.5
5452,4.0
2064,6.9
4967,44.8
1690,7.5
5433,6.99
1985,20.5
294,16.5
1547,17.9
2012,7.58
588,11.95
3329,32.5
2403,10.8
2129,26.5
3998,10.0
5975,13.0
3741,15.5
3508,6.19
2719,5.4
4521,75.0
6293,45.0
5740,27.0
556,33.5
2469,5.5
3738,43.3
4286,5.66
5183,14.6
1716,12.3
2604,4.85
5194,6.64
1704,4.98
2139,12.75
3239,4.99
2383,5.99
4311,12.6
1285,7.6
5359,4.3
5624,4.15
3930,8.49
4756,24.5
1591,5.8
6112,22.5
2162,68.0
2396,22.0
317,5.2
5650,8.5
3111,6.39
5035,6.78
4036,11.9
795,54.0
3020,5.5
1711,8.5
3387,17.0
36,10.2
4549,33.0
913,19.0
3972,27.0
4133,4.2
974,14.0
983,9.3
5139,6.25
1418,18.9
1560,6.35
4135,3.8
5018,9.0
4265,5.4
1355,14.8
5973,7.8
987,60.0
2682,8.4
1640,4.79
1290,4.78
3681,7.9
1380,9.5
1933,51.0
4675,9.5
5298,4.5
3160,13.5
2030,2.5
892,8.49
4069,7.65
4255,7.5
2,12.0
2109,24.0
849,7.5
2737,8.5
2466,6.55
1914,64.98
1596,7.5
1913,8.28
5932,18.8
2736,5.85
726,7.4
53,11.0
1796,8.9
3845,13.0
2553,24.6
2800,38.0
936,7.5
5192,5.75
824,5.68
4321,4.79
3401,3.9
1389,15.5
3564,8.9
884,9.9
1868,7.6
10,6.1
3415,7.7
1463,2.05
806,4.79
5132,14.4
4945,31.8
4068,2.0
2108,4.3
5316,2.65
6243,11.0
2234,6.5
963,4.0
4494,229.0
2632,6.25
704,6.95
431,3.98
4388,22.9
145,8.5
2033,7.8
5283,8.3
1165,5.8
3500,5.5
2050,4.2
3760,56.7
2624,7.4
4484,4.85
4435,7.5
5013,13.5
6179,6.0
4361,12.0
2424,13.5
1262,18.5
1771,23.5
3511,7.6
271,18.2
4792,7.2
6271,75.0
244,26.0
6109,7.49
4572,9.5
2032,6.3
5138,8.25
813,165.0
3810,10.9
5112,7.4
1804,4.7
5346,16.8
4346,5.55
2461,9.8
545,5.6
3241,7.09
738,21.0
310,5.4
3521,8.1
1131,5.4
6202,5.95
4111,29.0
2769,5.95
920,18.5
3587,8.8
3959,19.9
38,6.0
4459,20.0
4278,19.5
2983,9.6
6283,15.5
2667,4.68
3223,43.0
1182,5.75
614,8.0
6184,35.0
1466,4.35
4497,6.5
3042,7.69
934,23.0
2419,9.5
5681,7.5
5100,5.86
4822,6.98
826,2.5
1521,6.55
2930,19.5
4232,5.95
628,4.95
4430,8.7
3853,23.5
390,11.9
4345,15.2
6141,3.9
400,9.39
4806,6.2
5085,15.0
3359,93.0
46,5.0
6040,8.2
6205,6.35
3642,5.95
3726,12.0
6113,11.6
2421,12.99
1750,15.8
6087,7.35
5156,41.0
4062,2.8
338,17.8
215,7.55
3663,17.5
1341,4.3
5758,12.5
3894,70.0
3640,12.0
329,5.6
3004,5.79
6016,10.45
3115,35.0
6090,120.0
2322,32.0
4197,6.8
3549,6.19
1458,23.0
171,6.7
4203,30.0
5272,8.7
3569,6.8
4226,5.5
6158,6.66
5187,9.8
938,83.0
60,6.05
1240,17.5
5261,10.9
2120,21.0
1524,9.5
153,9.29
481,450.0
4460,75.0
3920,5.5
1762,22.0
750,7.48
1785,36.0
4501,7.7
4853,7.0
2711,3.1
5087,10.3
4193,15.4
1333,15.0
5601,7.35
2854,7.8
186,10.0
1136,6.1
2058,22.9
5274,9.5
148,55.0
4124,20.0
4889,9.55
3363,7.9
4788,22.9
2866,5.98
3776,17.2
1386,5.98
5952,10.95
5210,5.0
3629,98.0
5665,5.1
4797,6.5
3028,5.25
2969,7.3
5468,7.2
1708,34.0
2953,39.0
454,3.3
609,1.68
4263,45.0
4826,32.0
5335,10.6
2074,3.0
4052,8.99
5117,80.0
1622,29.9
4683,8.8
5513,30.0
40,6.8
2089,8.5
3924,12.5
2175,129.0
74,3.39
5036,22.3
6212,11.69
2657,9.9
3180,9.8
2076,43.0
441,34.0
2051,8.7
2541,5.75
1301,7.5
3430,40.0
1304,14.95
236,9.4
5246,23.5
2599,9.9
4616,3.5
2573,5.6
3280,8.9
3186,5.35
3953,6.45
2768,38.3
4831,25.5
4223,27.8
2106,6.3
2679,5.15
2761,16.5
4688,7.5
1387,52.0
5910,1.5
5698,48.0
5000,8.6
1279,4.95
6095,17.5
6173,80.0
1555,13.6
5693,34.0
3190,13.1
4566,47.0
4802,5.75
5905,95.0
4841,95.0
3594,10.5
1920,5.75
513,3.99
4177,10.99
1308,7.9
914,67.0
3452,9.4
3695,10.99
4242,13.5
3156,16.8
2198,3.2
774,5.5
4425,23.0
943,16.5
822,8.6
5005,57.0
4277,7.8
164,7.8
4547,9.8
3983,4.5
2538,13.9
6009,8.1
1311,8.0
5723,8.5
6195,39.0
5844,35.0
3300,3.5
3310,32.5
327,15.4
2490,10.8
5898,9.0
4408,58.0
832,13.3
3079,5.18
3462,9.0
5514,4.19
54,5.4
4064,68.77
3451,5.3
1901,11.5
1481,4.8
4873,5.9
4895,10.0
4150,6.5
3335,8.5
4926,11.9
946,57.9
3293,5.95
2161,12.0
5083,5.1
5330,9.3
3057,20.59
768,7.3
5920,6.5
3495,6.95
285,27.9
6222,47.0
4524,13.5
5598,14.0
2332,6.0
2717,7.8
2079,35.0
3389,6.95
722,5.95
951,11.8
5483,21.5
2262,8.3
989,20.5
3212,25.0
1759,11.8
5169,119.0
4422,10.5
1724,3.75
341,27.0
3701,4.5
4243,10.0
688,25.8
3432,5.75
4944,115.0
966,19.5
5947,42.0
2203,158.0
2713,8.8
4757,18.0
5098,6.0
5542,10.8
5760,6.85
3572,27.0
4805,10.0
1990,4.58
4120,16.0
4759,6.8
5164,16.5
5498,36.0
4971,39.5
5034,9.85
3600,8.6
5745,7.2
6269,13.0
5189,8.48
385,31.0
5489,11.5
5747,27.5
536,7.92
5873,25.0
5032,4.85
4212,48.0
3507,10.0
201,7.4
1332,72.0
3502,4.37
2708,13.6
5031,9.9
4662,28.0
4021,15.99
1854,10.5
6185,16.5
2872,18.0
3030,12.5
1205,3.6
1645,12.0
3417,6.6
3476,7.55
2861,8.9
1792,9.5
3797,20.0
3368,22.5
3367,31.9
3533,16.3
5520,35.0
5109,9.0
3449,8.6
603,12.0
3056,14.9
5473,4.05
126,16.8
3876,8.8
2935,10.9
4451,6.5
3531,7.49
2730,399.0
827,8.3
1639,35.0
984,3.59
3281,9.5
6260,34.76
2188,12.5
5799,58.0
2443,6.94
362,9.5
2349,4.58
345,7.35
814,15.5
4807,11.4
3205,8.99
5229,54.0
6035,7.0
3325,19.9
4106,12.0
2116,10.8
1834,18.9
793,9.48
6287,14.5
2674,9.2
94,10.4
4225,27.0
3756,18.0
2891,5.45
2371,4.7
5216,8.6
5576,7.6
3228,8.7
5609,4.7
2853,40.0
1865,10.99
4612,23.0
1857,13.6
2645,9.5
2243,9.5
2336,16.6
950,8.7
3068,16.7
1120,7.4
2597,5.2
2204,2.9
419,6.0
922,5.5
1254,12.49
477,15.0
2035,22.0
1202,28.0
2626,16.7
6060,2.9
1970,11.5
3110,8.6
4018,12.5
2151,10.95
3687,23.0
4916,12.5
1997,10.7
4033,17.6
6177,3.49
3054,8.55
1248,26.0
2192,7.8
2712,7.3
992,9.5
2190,6.38
4670,11.5
5142,11.5
3762,11.68
3597,6.89
4711,6.0
1318,28.0
1863,60.0
2343,12.5
2449,3.4
2136,21.0
1065,10.39
6247,9.5
4227,7.3
2621,8.6
77,4.45
2898,8.59
4820,5.14
1314,6.1
5492,12.5
872,7.2
3850,16.8
6024,7.75
2965,8.9
3391,21.5
2560,29.0
6169,4.59
2635,12.8
5256,18.0
3530,10.6
375,14.99
1908,32.0
4429,16.5
5916,40.0
5501,9.9
4027,7.5
1604,6.8
1118,7.5
3677,55.5
3490,4.1
6125,19.0
2958,3.59
1994,27.9
6242,80.0
5466,24.5
2376,125.0
1342,17.5
320,11.7
1619,24.9
3713,3.5
5763,8.5
2060,4.98
2219,135.0
1673,33.0
260,6.7
5555,18.5
2039,12.5
4785,47.6
901,7.4
3744,13.5
2026,7.99
4234,5.9
1917,8.1
1828,6.9
1573,7.4
4415,5.99
4749,12.5
5521,16.8
4654,4.0
4208,15.5
4627,26.8
224,6.98
723,8.8
5645,13.65
1141,5.35
2762,21.5
846,7.15
4289,8.7
5042,9.8
2551,33.8
2928,47.0
117,8.68
645,4.79
3,26.9
4170,13.9
467,4.95
5,36.5
919,20.5
2595,7.1
4324,7.6
1063,3.2
2590,4.79
242,7.2
5474,24.0
1160,5.15
2870,8.9
3735,7.3
2397,12.5
3517,6.79
3421,17.6
2563,11.99
1605,9.2
6072,16.89
2324,12.3
2709,11.5
5527,125.0
1312,10.0
3448,9.6
3812,39.0
5856,7.78
2362,4.68
1975,5.2
3514,4.7
1761,27.0
2739,7.8
5939,8.5
2472,5.68
4007,7.0
